"Four-Year Graduation Rates, 2012-13"
"All Districts, Gender"

"",,,"Graduates",,"Non-Graduates",,,
"District","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female",12,9,75.0,"*","*","*","*"
"Amistad Academy District","Male",11,7,63.6,"*","*","*","*"
"Ansonia School District","Female",105,94,89.5,"*","*",9,8.6
"Ansonia School District","Male",107,66,61.7,"*","*",18,16.8
"Avon School District","Female",122,116,95.1,"*","*","*","*"
"Avon School District","Male",141,136,96.5,"*","*","*","*"
"Berlin School District","Female",139,133,95.7,"*","*","*","*"
"Berlin School District","Male",123,119,96.7,"*","*","*","*"
"Bethel School District","Female",118,108,91.5,8,6.8,"*","*"
"Bethel School District","Male",116,109,94.0,6,5.2,"*","*"
"Bloomfield School District","Female",82,75,91.5,"*","*","*","*"
"Bloomfield School District","Male",83,71,85.5,"*","*","*","*"
"Bolton School District","Female",45,44,97.8,"*","*","*","*"
"Bolton School District","Male",36,35,97.2,"*","*","*","*"
"Branford School District","Female",153,143,93.5,"*","*","*","*"
"Branford School District","Male",118,107,90.7,"*","*","*","*"
"Bridgeport School District","Female",617,448,72.6,48,7.8,121,19.6
"Bridgeport School District","Male",612,379,61.9,87,14.2,146,23.9
"Bristol School District","Female",297,245,82.5,20,6.7,32,10.8
"Bristol School District","Male",338,262,77.5,34,10.1,42,12.4
"Brookfield School District","Female",124,120,96.8,"*","*","*","*"
"Brookfield School District","Male",118,112,94.9,"*","*","*","*"
"Canton School District","Female",63,59,93.7,"*","*","*","*"
"Canton School District","Male",61,58,95.1,"*","*","*","*"
"Capitol Region Education Council","Female",138,117,84.8,"*","*",17,12.3
"Capitol Region Education Council","Male",108,92,85.2,"*","*",9,8.3
"Cheshire School District","Female",189,182,96.3,"*","*","*","*"
"Cheshire School District","Male",195,180,92.3,"*","*","*","*"
"Clinton School District","Female",70,64,91.4,"*","*","*","*"
"Clinton School District","Male",75,64,85.3,"*","*","*","*"
"Colchester School District","Female",128,123,96.1,"*","*","*","*"
"Colchester School District","Male",125,113,90.4,"*","*","*","*"
"Common Ground High School District","Female",16,14,87.5,"*","*","*","*"
"Common Ground High School District","Male",22,20,90.9,"*","*","*","*"
"Connecticut Technical High School System","Female",896,856,95.5,"*","*",37,4.1
"Connecticut Technical High School System","Male",1587,1536,96.8,"*","*",43,2.7
"Coventry School District","Female",72,66,91.7,"*","*","*","*"
"Coventry School District","Male",66,59,89.4,"*","*","*","*"
"Cromwell School District","Female",78,71,91.0,"*","*","*","*"
"Cromwell School District","Male",67,62,92.5,"*","*","*","*"
"Danbury School District","Female",387,309,79.8,38,9.8,40,10.3
"Danbury School District","Male",392,279,71.2,63,16.1,50,12.8
"Darien School District","Female",159,155,97.5,"*","*","*","*"
"Darien School District","Male",157,152,96.8,"*","*","*","*"
"Department of Mental Health and Addiction Services","Female","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Male","*","*","*","*","*","*","*"
"Derby School District","Female",44,26,59.1,11,25.0,"*","*"
"Derby School District","Male",47,33,70.2,9,19.1,"*","*"
"East Granby School District","Female",32,31,96.9,"*","*","*","*"
"East Granby School District","Male",39,36,92.3,"*","*","*","*"
"East Haddam School District","Female",51,48,94.1,"*","*","*","*"
"East Haddam School District","Male",49,48,98.0,"*","*","*","*"
"East Hampton School District","Female",67,66,98.5,"*","*","*","*"
"East Hampton School District","Male",65,61,93.8,"*","*","*","*"
"East Hartford School District","Female",259,216,83.4,13,5.0,30,11.6
"East Hartford School District","Male",297,216,72.7,32,10.8,48,16.2
"East Haven School District","Female",113,94,83.2,"*","*",15,13.3
"East Haven School District","Male",133,88,66.2,"*","*",30,22.6
"East Lyme School District","Female",160,153,95.6,6,3.8,"*","*"
"East Lyme School District","Male",151,140,92.7,9,6.0,"*","*"
"East Windsor School District","Female",50,42,84.0,"*","*","*","*"
"East Windsor School District","Male",46,37,80.4,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",39,33,84.6,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",30,21,70.0,"*","*","*","*"
"Ellington School District","Female",106,98,92.5,"*","*","*","*"
"Ellington School District","Male",92,84,91.3,"*","*","*","*"
"Elm City College Preparatory School District","Female",7,"*","*","*","*","*","*"
"Elm City College Preparatory School District","Male",6,"*","*","*","*","*","*"
"Enfield School District","Female",220,197,89.5,7,3.2,16,7.3
"Enfield School District","Male",225,192,85.3,13,5.8,20,8.9
"Explorations District","Female",17,10,58.8,"*","*","*","*"
"Explorations District","Male",15,11,73.3,"*","*","*","*"
"Fairfield School District","Female",344,323,93.9,13,3.8,8,2.3
"Fairfield School District","Male",364,333,91.5,24,6.6,7,1.9
"Farmington School District","Female",163,159,97.5,"*","*","*","*"
"Farmington School District","Male",163,151,92.6,"*","*","*","*"
"Glastonbury School District","Female",276,268,97.1,"*","*","*","*"
"Glastonbury School District","Male",276,268,97.1,"*","*","*","*"
"Granby School District","Female",99,97,98.0,"*","*","*","*"
"Granby School District","Male",98,95,96.9,"*","*","*","*"
"Greenwich School District","Female",326,311,95.4,9,2.8,"*","*"
"Greenwich School District","Male",365,344,94.2,17,4.7,"*","*"
"Griswold School District","Female",93,83,89.2,"*","*","*","*"
"Griswold School District","Male",77,65,84.4,"*","*","*","*"
"Groton School District","Female",168,144,85.7,7,4.2,17,10.1
"Groton School District","Male",159,125,78.6,11,6.9,23,14.5
"Guilford School District","Female",139,134,96.4,"*","*","*","*"
"Guilford School District","Male",142,128,90.1,"*","*","*","*"
"Hamden School District","Female",232,207,89.2,12,5.2,13,5.6
"Hamden School District","Male",223,181,81.2,31,13.9,11,4.9
"Hartford School District","Female",731,552,75.5,31,4.2,145,19.8
"Hartford School District","Male",687,457,66.5,62,9.0,166,24.2
"Killingly School District","Female",110,92,83.6,7,6.4,11,10.0
"Killingly School District","Male",113,75,66.4,18,15.9,20,17.7
"Learn","Female",23,20,87.0,"*","*","*","*"
"Learn","Male",20,15,75.0,"*","*","*","*"
"Lebanon School District","Female",72,67,93.1,"*","*","*","*"
"Lebanon School District","Male",46,43,93.5,"*","*","*","*"
"Ledyard School District","Female",115,106,92.2,"*","*","*","*"
"Ledyard School District","Male",117,102,87.2,"*","*","*","*"
"Lisbon School District","Female","*","*","*","*","*","*","*"
"Lisbon School District","Male","*","*","*","*","*","*","*"
"Litchfield School District","Female",46,45,97.8,"*","*","*","*"
"Litchfield School District","Male",42,42,100.0,"*","*","*","*"
"Madison School District","Female",159,156,98.1,"*","*","*","*"
"Madison School District","Male",158,157,99.4,"*","*","*","*"
"Manchester School District","Female",221,174,78.7,13,5.9,34,15.4
"Manchester School District","Male",258,184,71.3,37,14.3,37,14.3
"Meriden School District","Female",325,245,75.4,18,5.5,61,18.8
"Meriden School District","Male",314,203,64.6,41,13.1,69,22.0
"Middletown School District","Female",169,143,84.6,10,5.9,16,9.5
"Middletown School District","Male",210,164,78.1,18,8.6,28,13.3
"Milford School District","Female",261,233,89.3,23,8.8,"*","*"
"Milford School District","Male",264,213,80.7,39,14.8,"*","*"
"Monroe School District","Female",162,160,98.8,"*","*","*","*"
"Monroe School District","Male",147,140,95.2,"*","*","*","*"
"Montville School District","Female",79,73,92.4,"*","*","*","*"
"Montville School District","Male",109,88,80.7,"*","*","*","*"
"Naugatuck School District","Female",160,133,83.1,9,5.6,18,11.3
"Naugatuck School District","Male",175,128,73.1,25,14.3,22,12.6
"New Britain School District","Female",320,213,66.6,28,8.8,79,24.7
"New Britain School District","Male",334,185,55.4,63,18.9,86,25.7
"New Canaan School District","Female",177,173,97.7,"*","*","*","*"
"New Canaan School District","Male",162,158,97.5,"*","*","*","*"
"New Fairfield School District","Female",133,131,98.5,"*","*","*","*"
"New Fairfield School District","Male",125,116,92.8,"*","*","*","*"
"New Haven School District","Female",711,550,77.4,42,5.9,119,16.7
"New Haven School District","Male",604,389,64.4,61,10.1,154,25.5
"New London School District","Female",122,83,68.0,10,8.2,29,23.8
"New London School District","Male",135,82,60.7,17,12.6,36,26.7
"New Milford School District","Female",196,175,89.3,"*","*",16,8.2
"New Milford School District","Male",196,165,84.2,"*","*",17,8.7
"Newington School District","Female",190,177,93.2,7,3.7,6,3.2
"Newington School District","Male",186,162,87.1,9,4.8,15,8.1
"Newtown School District","Female",228,215,94.3,9,3.9,"*","*"
"Newtown School District","Male",243,228,93.8,15,6.2,"*","*"
"North Branford School District","Female",92,88,95.7,"*","*","*","*"
"North Branford School District","Male",78,75,96.2,"*","*","*","*"
"North Haven School District","Female",151,142,94.0,"*","*",6,4.0
"North Haven School District","Male",163,133,81.6,"*","*",15,9.2
"North Stonington School District","Female",30,29,96.7,"*","*","*","*"
"North Stonington School District","Male",18,17,94.4,"*","*","*","*"
"Norwalk School District","Female",402,351,87.3,7,1.7,44,10.9
"Norwalk School District","Male",378,310,82.0,28,7.4,40,10.6
"Norwich Free Academy District","Female",326,279,85.6,12,3.7,35,10.7
"Norwich Free Academy District","Male",289,220,76.1,41,14.2,28,9.7
"Old Saybrook School District","Female",65,64,98.5,"*","*","*","*"
"Old Saybrook School District","Male",74,68,91.9,"*","*","*","*"
"Oxford School District","Female",80,80,100.0,"*","*","*","*"
"Oxford School District","Male",75,71,94.7,"*","*","*","*"
"Plainfield School District","Female",99,89,89.9,"*","*",6,6.1
"Plainfield School District","Male",104,83,79.8,"*","*",6,5.8
"Plainville School District","Female",108,101,93.5,"*","*","*","*"
"Plainville School District","Male",98,82,83.7,"*","*","*","*"
"Plymouth School District","Female",64,55,85.9,"*","*","*","*"
"Plymouth School District","Male",64,54,84.4,"*","*","*","*"
"Portland School District","Female",42,38,90.5,"*","*","*","*"
"Portland School District","Male",51,42,82.4,"*","*","*","*"
"Putnam School District","Female",45,40,88.9,"*","*","*","*"
"Putnam School District","Male",51,34,66.7,"*","*","*","*"
"Regional School District 01","Female",55,49,89.1,"*","*","*","*"
"Regional School District 01","Male",54,50,92.6,"*","*","*","*"
"Regional School District 04","Female",88,86,97.7,"*","*","*","*"
"Regional School District 04","Male",75,69,92.0,"*","*","*","*"
"Regional School District 05","Female",187,181,96.8,"*","*","*","*"
"Regional School District 05","Male",209,199,95.2,"*","*","*","*"
"Regional School District 06","Female",53,51,96.2,"*","*","*","*"
"Regional School District 06","Male",44,42,95.5,"*","*","*","*"
"Regional School District 07","Female",95,94,98.9,"*","*","*","*"
"Regional School District 07","Male",99,90,90.9,"*","*","*","*"
"Regional School District 08","Female",127,120,94.5,"*","*","*","*"
"Regional School District 08","Male",158,142,89.9,"*","*","*","*"
"Regional School District 09","Female",125,118,94.4,"*","*","*","*"
"Regional School District 09","Male",115,108,93.9,"*","*","*","*"
"Regional School District 10","Female",97,89,91.8,"*","*","*","*"
"Regional School District 10","Male",101,94,93.1,"*","*","*","*"
"Regional School District 11","Female",18,16,88.9,"*","*","*","*"
"Regional School District 11","Male",26,22,84.6,"*","*","*","*"
"Regional School District 12","Female",36,32,88.9,"*","*","*","*"
"Regional School District 12","Male",55,46,83.6,"*","*","*","*"
"Regional School District 13","Female",79,76,96.2,"*","*","*","*"
"Regional School District 13","Male",74,68,91.9,"*","*","*","*"
"Regional School District 14","Female",109,103,94.5,"*","*","*","*"
"Regional School District 14","Male",92,84,91.3,"*","*","*","*"
"Regional School District 15","Female",146,138,94.5,"*","*","*","*"
"Regional School District 15","Male",174,164,94.3,"*","*","*","*"
"Regional School District 16","Female",81,76,93.8,"*","*","*","*"
"Regional School District 16","Male",105,90,85.7,"*","*","*","*"
"Regional School District 17","Female",84,82,97.6,"*","*","*","*"
"Regional School District 17","Male",80,76,95.0,"*","*","*","*"
"Regional School District 18","Female",58,56,96.6,"*","*","*","*"
"Regional School District 18","Male",56,52,92.9,"*","*","*","*"
"Regional School District 19","Female",171,150,87.7,12,7.0,"*","*"
"Regional School District 19","Male",145,127,87.6,14,9.7,"*","*"
