"Four-Year Graduation Rates, 2014-15"
"All Districts, Gender"

"",,,"Non-Graduates",,,
"District","Gender","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female",16,"*","*","*","*"
"Amistad Academy District","Male",13,"*","*","*","*"
"Ansonia School District","Female",74,7,9.5,"*","*"
"Ansonia School District","Male",98,10,10.2,"*","*"
"Avon School District","Female",138,"*","*","*","*"
"Avon School District","Male",110,"*","*","*","*"
"Berlin School District","Female",96,"*","*","*","*"
"Berlin School District","Male",114,"*","*","*","*"
"Bethel School District","Female",108,"*","*","*","*"
"Bethel School District","Male",110,"*","*","*","*"
"Bloomfield School District","Female",100,"*","*","*","*"
"Bloomfield School District","Male",76,"*","*","*","*"
"Bolton School District","Female",28,"*","*","*","*"
"Bolton School District","Male",48,"*","*","*","*"
"Branford School District","Female",130,"*","*",6,4.6
"Branford School District","Male",123,"*","*",8,6.5
"Bridgeport Achievement First District","Female",17,"*","*","*","*"
"Bridgeport Achievement First District","Male",14,"*","*","*","*"
"Bridgeport School District","Female",601,52,8.7,137,22.8
"Bridgeport School District","Male",587,88,15.0,156,26.6
"Bristol School District","Female",308,12,3.9,29,9.4
"Bristol School District","Male",339,28,8.3,52,15.3
"Brookfield School District","Female",126,"*","*","*","*"
"Brookfield School District","Male",109,"*","*","*","*"
"Canton School District","Female",53,"*","*","*","*"
"Canton School District","Male",79,"*","*","*","*"
"Capitol Region Education Council","Female",193,"*","*",10,5.2
"Capitol Region Education Council","Male",130,"*","*",7,5.4
"Cheshire School District","Female",196,"*","*","*","*"
"Cheshire School District","Male",196,"*","*","*","*"
"Clinton School District","Female",74,"*","*","*","*"
"Clinton School District","Male",88,"*","*","*","*"
"Colchester School District","Female",123,"*","*","*","*"
"Colchester School District","Male",105,"*","*","*","*"
"Common Ground High School District","Female",17,"*","*","*","*"
"Common Ground High School District","Male",20,"*","*","*","*"
"Connecticut Technical High School System","Female",958,"*","*",32,3.3
"Connecticut Technical High School System","Male",1510,"*","*",23,1.5
"Coventry School District","Female",60,"*","*","*","*"
"Coventry School District","Male",57,"*","*","*","*"
"Cromwell School District","Female",62,"*","*","*","*"
"Cromwell School District","Male",66,"*","*","*","*"
"Danbury School District","Female",378,26,6.9,39,10.3
"Danbury School District","Male",394,54,13.7,58,14.7
"Darien School District","Female",182,"*","*","*","*"
"Darien School District","Male",152,"*","*","*","*"
"Derby School District","Female",54,"*","*","*","*"
"Derby School District","Male",48,"*","*","*","*"
"East Granby School District","Female",30,"*","*","*","*"
"East Granby School District","Male",31,"*","*","*","*"
"East Haddam School District","Female",52,"*","*","*","*"
"East Haddam School District","Male",61,"*","*","*","*"
"East Hampton School District","Female",69,"*","*","*","*"
"East Hampton School District","Male",58,"*","*","*","*"
"East Hartford School District","Female",276,10,3.6,14,5.1
"East Hartford School District","Male",290,16,5.5,28,9.7
"East Haven School District","Female",119,"*","*",23,19.3
"East Haven School District","Male",125,"*","*",26,20.8
"East Lyme School District","Female",129,"*","*","*","*"
"East Lyme School District","Male",145,"*","*","*","*"
"East Windsor School District","Female",37,"*","*","*","*"
"East Windsor School District","Male",53,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",40,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",32,"*","*","*","*"
"Ellington School District","Female",101,"*","*","*","*"
"Ellington School District","Male",105,"*","*","*","*"
"Elm City College Preparatory School District","Female","*","*","*","*","*"
"Elm City College Preparatory School District","Male","*","*","*","*","*"
"Enfield School District","Female",206,8,3.9,12,5.8
