"Four-Year Graduation Rates, 2015-16",,,,,,,
"All Districts, Gender",,,,,,,
,,,,,,,
,,,,Non-Graduates,,,
District,District Code,Gender,Four-Year Cohort Count,Still Enrolled Count,Still Enrolled Rate,Other Count,Other Rate
Achievement First Hartford Academy Inc. District,2880013,Female,22,*,*,0,0
Achievement First Hartford Academy Inc. District,2880013,Male,13,*,*,0,*
Amistad Academy District,2790013,Female,14,0,*,0,*
Amistad Academy District,2790013,Male,16,*,*,*,*
Ansonia School District,0020011,Female,62,*,*,*,*
Ansonia School District,0020011,Male,76,*,*,*,*
Avon School District,0040011,Female,114,*,*,*,*
Avon School District,0040011,Male,126,*,*,*,*
Berlin School District,0070011,Female,114,*,*,*,*
Berlin School District,0070011,Male,135,*,*,*,*
Bethel School District,0090011,Female,116,*,*,*,*
Bethel School District,0090011,Male,135,*,*,*,*
Bloomfield School District,0110011,Female,64,*,*,*,*
Bloomfield School District,0110011,Male,92,*,*,*,*
Bolton School District,0120011,Female,44,0,0,*,*
Bolton School District,0120011,Male,41,*,*,0,0
Branford School District,0140011,Female,127,*,*,*,*
Branford School District,0140011,Male,129,*,*,*,*
Bridgeport Achievement First District,2850013,Female,17,*,*,0,*
Bridgeport Achievement First District,2850013,Male,13,*,*,*,*
Bridgeport School District,0150011,Female,664,53,8,115,17.3
Bridgeport School District,0150011,Male,723,114,15.8,177,24.5
Bristol School District,0170011,Female,317,17,5.4,28,8.8
Bristol School District,0170011,Male,342,35,10.2,31,9.1
Brookfield School District,0180011,Female,117,0,0,*,*
Brookfield School District,0180011,Male,98,*,*,*,*
Canton School District,0230011,Female,49,*,*,*,*
Canton School District,0230011,Male,57,*,*,*,*
Capital Preparatory Harbor School Inc. District,2970013,Female,*,*,*,*,*
Capital Preparatory Harbor School Inc. District,2970013,Male,*,*,*,*,*
Capitol Region Education Council,2410014,Female,239,*,*,*,*
Capitol Region Education Council,2410014,Male,186,*,*,*,*
Cheshire School District,0250011,Female,172,*,*,*,*
Cheshire School District,0250011,Male,215,*,*,*,*
Clinton School District,0270011,Female,70,*,*,*,*
Clinton School District,0270011,Male,70,*,*,*,*
Colchester School District,0280011,Female,115,*,*,*,*
Colchester School District,0280011,Male,99,*,*,*,*
Common Ground High School District,2680013,Female,19,*,*,*,*
Common Ground High School District,2680013,Male,15,*,*,0,*
Connecticut Technical High School System,9000016,Female,960,*,*,*,*
Connecticut Technical High School System,9000016,Male,1511,*,*,*,*
Coventry School District,0320011,Female,62,*,*,*,*
Coventry School District,0320011,Male,68,*,*,*,*
Cromwell School District,0330011,Female,64,*,*,*,*
Cromwell School District,0330011,Male,79,*,*,*,*
Danbury School District,0340011,Female,377,30,8,31,8.2
Danbury School District,0340011,Male,389,60,15.4,53,13.6
Darien School District,0350011,Female,154,*,*,0,0
Darien School District,0350011,Male,178,0,0,0,0
Department of Mental Health and Addiction Services,3370015,Female,*,*,*,*,*
